Age,Reliability,Children,Income,Evidence of active listening,Yearly_equip_failure,Contract,Techie,Churn
61,3,3,20811.42,3,1,1,0,1
75,3,0,34474.39,2,0,1,0,1
72,4,3,81388.6,3,0,1,0,1
66,4,0,78272.96,3,0,1,0,1
81,3,2,11655.88,3,0,0,0,1
34,4,4,37773.19,3,1,1,0,0
82,3,1,40183.01,4,0,1,0,1
73,5,1,37149.4,4,0,2,1,0
28,3,0,10331.57,3,0,0,0,1
48,6,1,37096.85,6,0,1,0,0
53,5,2,26004.59,5,0,0,0,1
52,4,4,77291.95,3,0,2,1,1
20,3,3,24462.25,3,1,1,0,0
19,3,0,75871.75,4,0,1,0,1
70,4,0,28840.47,4,0,2,1,0
48,3,4,25299.48,2,0,2,0,0
28,4,2,37631.4,3,0,2,0,0
52,4,2,23014.69,5,1,2,0,0
77,4,1,31300.68,4,0,1,0,0
71,4,3,55840.35,4,0,2,0,0
22,5,4,9729.44,4,0,2,0,1
88,5,1,35891.67,4,2,1,0,1
25,2,0,20801.9,3,0,0,1,0
21,1,2,112429.2,2,0,2,1,0
39,2,1,33217.64,3,1,2,0,0
29,4,1,45562.97,4,0,2,0,0
22,3,1,15380.9,2,2,1,0,0
44,3,10,100232.53,4,0,2,0,0
74,4,4,57900.98,4,0,0,0,0
84,2,2,60476.86,3,0,2,0,0
65,5,1,26875.13,5,0,0,1,0
29,4,2,24447.03,4,0,0,0,0
51,3,2,14817.22,2,0,1,1,1
40,4,0,6170.55,3,1,1,0,1
49,5,2,33620.38,3,1,0,0,0
61,5,7,86453.08,4,0,1,0,1
61,3,3,31466.9,3,0,1,0,0
85,3,1,76984.15,3,0,1,0,0
25,4,8,43586.8,3,0,2,0,0
48,5,4,13148.09,4,0,1,0,0
86,4,4,11612.88,3,1,1,0,0
53,3,0,71215.87,3,1,1,0,1
88,4,2,18113.33,3,0,1,0,0
40,3,1,18895.18,5,0,1,0,1
23,3,1,48852.54,4,0,1,0,1
63,5,3,6574.36,4,0,1,1,1
28,3,2,10342.14,3,1,0,0,0
26,4,1,23028.48,5,1,2,0,1
22,4,2,31843.16,4,0,2,0,0
43,4,2,31920.88,4,1,2,0,0
70,5,6,54961.9,5,0,1,0,1
48,2,2,119964.79,3,2,1,0,0
29,5,1,21897.41,3,0,1,1,1
61,4,4,72129.01,5,2,1,0,1
73,4,1,16368.02,5,0,1,0,0
27,3,2,59147.78,3,0,1,0,1
56,5,1,65900.37,4,2,0,0,1
19,2,6,69369.36,3,0,2,0,0
56,4,1,23382.74,4,0,1,0,1
83,4,2,25886.2,3,0,1,0,0
84,4,3,99519.26,3,0,0,0,0
62,5,0,93039.69,2,0,1,0,0
67,3,0,37852.37,3,0,0,0,0
21,2,1,54727.46,3,1,2,0,0
31,5,2,47944.46,4,0,2,0,0
25,4,2,18402.27,2,0,1,0,1
60,4,0,43631.75,4,0,1,0,1
84,3,6,31392.97,4,0,1,0,0
36,4,1,10466.23,4,0,1,0,0
87,4,0,20197.89,5,1,1,0,0
80,4,2,99482.26,2,0,1,0,1
34,3,0,48005.75,4,0,2,0,0
39,4,4,50666.54,4,2,0,1,1
42,4,8,6117.38,4,0,1,0,0
36,4,4,7953.27,2,1,2,1,0
18,2,0,101000.3,3,1,1,0,1
66,3,0,10882.02,5,0,1,0,0
20,4,3,69156.25,4,0,2,0,1
73,3,0,19563.77,3,1,0,0,0
83,3,0,27113.0,3,0,0,0,0
67,3,2,156740.67,3,0,1,0,1
62,3,2,23165.82,2,0,1,0,1
34,3,2,13378.22,3,0,2,0,0
28,3,2,5337.97,2,0,0,0,0
26,2,2,72490.86,3,0,1,0,1
82,5,2,12476.24,3,0,1,0,1
59,3,1,64584.13,3,0,0,0,0
46,4,6,32885.95,4,0,1,0,0
44,3,1,80862.03,3,2,1,0,1
56,5,4,49800.1,4,1,2,0,0
32,3,10,6958.83,3,0,2,1,0
50,3,2,19133.76,4,1,0,0,1
53,3,7,23413.1,3,0,2,0,0
84,5,1,11957.82,6,0,2,0,0
33,5,5,31250.41,1,0,1,0,1
29,4,3,9487.91,4,0,0,0,0
87,4,7,13533.47,4,1,0,1,1
34,3,3,46533.08,3,0,1,0,1
34,2,3,47946.16,2,0,1,0,0
28,3,1,14393.72,3,0,2,1,1
68,3,2,4102.64,3,1,1,0,1
26,2,0,11249.18,3,1,1,1,1
61,4,0,18684.74,5,1,1,0,0
79,5,4,75276.52,5,0,2,0,0
49,1,1,78129.73,2,0,0,0,0
85,4,3,97761.18,5,0,1,0,1
25,4,0,20789.86,3,0,0,0,1
19,4,0,34038.71,3,0,1,0,1
28,4,0,16051.94,4,0,0,0,0
86,4,0,24266.04,2,0,2,0,1
54,4,0,28712.86,5,0,1,0,0
28,3,2,18966.81,3,0,1,1,1
25,4,2,67530.44,4,0,2,1,0
81,3,4,38866.92,2,1,2,0,1
89,4,2,44314.39,3,0,2,0,1
62,4,0,26929.55,3,0,1,0,1
31,3,1,50643.95,4,2,0,0,0
48,5,3,4803.58,3,0,1,0,0
22,4,1,21278.71,3,0,1,0,1
22,1,0,16874.68,4,0,1,0,0
20,4,2,20314.7,3,0,1,0,0
58,3,1,146494.7,4,0,0,0,0
81,3,0,28908.4,3,1,0,0,1
26,4,0,159315.5,4,1,1,1,1
89,4,0,47370.85,5,1,0,0,1
59,2,1,59158.79,1,0,1,1,1
75,4,0,39802.79,3,1,0,0,1
35,4,5,50195.66,4,0,1,0,0
28,3,1,52946.65,4,0,1,0,0
48,5,3,7681.82,5,0,1,0,1
29,3,1,17876.13,3,1,2,0,0
62,4,0,21795.58,4,0,1,0,1
43,4,1,5192.16,4,0,0,0,0
66,3,0,60897.92,4,0,2,0,0
56,1,3,35939.37,3,0,1,0,1
73,4,0,24091.33,3,0,1,0,1
21,2,4,41209.8,5,1,1,0,1
48,4,1,26695.46,3,0,2,0,1
82,3,0,14185.42,5,0,0,0,0
22,3,0,12765.41,3,0,1,1,1
34,1,3,11386.53,2,1,2,0,0
56,2,2,56131.21,3,1,1,0,0
25,2,2,50560.17,3,0,1,0,1
44,7,0,24202.12,3,0,2,0,0
59,4,1,1668.97,3,0,2,0,0
63,3,0,36973.83,4,1,0,1,0
76,2,1,17218.09,5,0,1,0,1
41,3,4,34228.9,3,0,0,0,0
25,4,4,31159.95,2,0,1,0,0
40,2,1,21654.51,3,0,1,0,0
77,4,0,36121.33,3,0,0,0,0
20,3,4,76136.04,2,1,1,0,0
53,5,0,20957.58,4,0,1,1,1
36,4,0,33559.74,5,1,1,0,1
86,5,0,30142.44,5,0,0,0,1
59,3,1,21663.69,3,0,1,0,0
26,4,3,12924.08,4,1,1,0,1
61,4,3,67021.35,3,1,1,0,0
27,4,3,31006.39,3,0,1,0,1
53,2,2,28580.25,3,0,1,0,1
32,4,1,23706.94,5,0,2,0,1
60,4,0,49693.17,2,0,0,0,0
25,5,3,77622.97,3,1,2,0,1
52,3,3,86411.28,4,1,1,0,1
32,4,10,46353.07,3,1,1,0,0
88,3,1,62359.81,2,0,2,1,0
59,4,0,19942.74,4,1,2,1,0
54,5,1,51203.14,3,1,1,0,1
83,4,3,10818.08,5,0,1,1,1
88,7,0,33165.9,4,1,2,0,0
68,4,1,25819.56,2,0,1,1,1
38,4,0,21806.2,4,0,1,1,1
23,4,3,28082.45,4,1,1,1,1
55,4,3,69662.99,4,0,2,0,0
43,4,1,54674.22,3,0,1,0,0
61,2,4,16706.02,5,1,0,0,0
38,3,0,31980.81,3,0,0,0,0
28,3,4,41955.27,3,0,0,0,0
84,5,0,57107.43,4,2,1,0,1
22,4,0,6769.7,5,0,1,0,1
34,3,1,65191.79,4,0,1,0,0
28,5,0,35947.74,3,0,1,0,0
83,2,6,23022.97,4,0,0,0,1
86,4,0,33529.19,3,1,1,0,1
79,1,3,73378.99,2,0,1,0,1
56,3,1,3504.7,4,0,1,0,1
47,6,0,20125.41,5,0,2,0,0
84,5,1,25807.14,6,0,2,0,0
35,4,8,21801.03,7,1,0,0,0
26,4,4,15518.51,4,2,2,0,0
41,4,0,10299.94,3,1,1,0,0
50,3,2,30944.95,4,0,1,0,1
34,3,1,80906.28,3,0,0,0,0
22,5,1,39281.35,4,0,2,0,0
55,3,0,14536.31,2,0,2,0,0
80,5,6,43044.31,3,1,1,0,0
85,4,1,19373.31,3,1,2,0,1
58,2,0,46426.0,4,0,1,0,0
37,3,4,24903.99,5,0,1,0,1
71,2,3,82554.24,3,0,0,0,0
63,4,0,48163.8,4,0,2,1,0
47,2,0,25331.3,4,1,1,0,1
80,3,2,25898.52,3,3,1,0,1
26,4,3,2374.22,5,0,1,0,0
28,5,3,88915.15,2,1,1,0,1
38,4,4,21168.49,2,0,1,0,1
79,3,2,74026.91,4,1,0,1,1
48,3,2,21064.75,4,0,1,0,0
80,1,2,42659.99,3,0,2,1,0
66,3,4,15253.93,4,0,0,0,0
26,2,9,29353.41,4,0,2,1,0
56,3,1,35089.38,2,1,1,0,1
69,3,4,75443.13,2,2,2,0,0
73,1,0,55081.63,4,0,2,0,0
55,4,0,16581.74,2,0,2,0,0
32,3,2,29361.24,4,1,1,0,1
71,3,1,26164.5,5,0,1,0,0
26,3,2,60231.84,2,1,1,0,1
71,3,2,20191.76,4,1,1,0,1
51,4,0,44316.41,6,0,1,0,1
89,4,1,51090.87,4,0,1,0,1
58,4,0,58324.01,2,2,1,1,1
46,4,2,48137.75,4,0,1,0,0
19,6,1,19639.83,2,1,0,0,0
18,4,1,27259.78,4,1,1,0,1
78,4,1,86897.5,4,0,1,0,0
51,2,0,27537.94,2,1,0,0,1
65,4,0,8690.46,5,0,1,0,1
37,4,1,29823.06,3,0,2,0,0
38,4,0,28790.03,6,1,0,0,0
84,3,1,63725.44,3,0,0,0,1
43,3,1,14900.46,4,3,1,0,1
34,1,2,37552.96,5,0,2,1,0
48,6,2,163086.24,5,0,0,0,0
56,4,1,15621.76,3,0,1,0,1
53,4,0,12782.07,3,1,1,0,1
55,4,2,14331.34,4,0,2,0,1
35,3,4,25934.55,4,0,1,0,0
18,4,0,37860.79,6,1,0,0,0
38,3,0,99007.42,3,2,0,1,0
55,4,1,49915.86,5,1,1,0,1
81,5,2,11455.64,5,1,1,0,1
55,3,0,22322.51,4,1,2,1,0
64,3,0,67019.55,2,0,0,1,0
80,5,0,61436.18,5,0,1,0,1
36,4,1,83705.06,4,0,0,0,1
42,4,6,58187.53,3,1,0,0,0
44,4,4,36699.84,5,0,2,0,1
24,3,2,26942.28,3,1,1,1,1
39,3,1,15638.87,3,1,1,1,1
68,3,3,49252.56,3,1,0,0,1
83,2,1,8497.8,2,1,1,0,1
56,4,2,56574.39,5,1,1,0,0
47,4,4,58297.91,4,0,0,0,0
59,5,2,24940.07,4,0,1,1,1
28,5,1,18410.16,4,0,1,0,1
81,4,1,85742.06,3,0,2,1,0
69,3,2,100626.29,1,0,2,0,1
77,5,1,20485.31,2,0,2,0,0
26,3,1,24166.24,3,0,2,0,0
47,3,1,60415.32,5,0,0,0,1
50,4,2,40667.47,5,0,1,1,0
46,4,1,29876.17,3,0,1,0,1
40,4,3,22790.72,3,0,1,0,1
52,4,5,67828.98,3,0,1,0,1
68,3,1,94520.02,4,0,2,1,0
82,4,4,172884.11,2,1,2,0,0
83,4,1,45301.07,3,0,2,1,0
21,3,0,13673.66,1,0,0,1,1
43,4,0,33731.69,4,0,0,0,0
65,4,1,47738.37,2,0,1,1,1
82,3,3,26633.0,2,0,1,0,0
